Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
Silt,5.9,48.28,0.99,0.59,21.29,68.28,2242.34,9.53,17.08,Rice,Flowering,Kharif,Canal,Reservoir,13.24,No,76.17,South,Medium
Silt,6.7,18.99,1.44,2.01,17.28,63.89,1501.77,5.74,17.58,Cotton,Flowering,Zaid,Rainfed,Rainwater,0.71,No,12.91,East,Medium
Clay,7.72,47.24,1.35,2.38,36.39,72.03,2066.1,10.41,18.73,Rice,Sowing,Zaid,Canal,Reservoir,1.33,No,101.81,South,Low
Loamy,7.07,23.53,0.4,2.04,39.24,36.41,439.49,7.63,10.24,Potato,Sowing,Kharif,Canal,Rainwater,7.31,Yes,30.65,North,Medium
Sandy,6.28,55.43,0.56,2.33,14.47,31.11,655.16,5.43,19.15,Cotton,Harvest,Kharif,Sprinkler,Reservoir,5.34,No,71.79,North,Low
Loamy,8.04,12.77,1.16,0.49,16.65,82.41,1110.17,6.89,10.23,Potato,Vegetative,Kharif,Drip,Groundwater,4.88,No,115.25,East,Medium
Silt,7.25,52.07,0.88,1.72,18.85,65.13,2129.04,10.46,3.5,Sugarcane,Vegetative,Zaid,Canal,Rainwater,7.01,Yes,94.83,East,Low
Silt,7.96,13.7,0.68,1.31,27.27,33.58,1066.4,7.35,10.29,Maize,Flowering,Rabi,Sprinkler,Groundwater,8.73,Yes,80.74,West,Medium
Loamy,6.59,58.23,0.84,3.41,35.74,54.14,1568.65,10.12,17.44,Sugarcane,Sowing,Kharif,Canal,Rainwater,2.48,No,92.37,North,Low
Loamy,5.68,25.34,0.88,0.27,14.14,45.88,989.53,5.12,15.82,Cotton,Flowering,Kharif,Rainfed,River,12.78,No,64.64,Central,Medium
Loamy,4.98,45.3,1.48,1.11,31.1,86.28,2014.3,10.4,8.96,Rice,Sowing,Kharif,Drip,Rainwater,5.35,Yes,48.88,East,Low
Silt,7.27,35.79,0.43,3.3,16.48,60.51,500.72,7.01,4.64,Sugarcane,Vegetative,Kharif,Drip,Rainwater,7.54,Yes,2.09,West,Low
Silt,5.21,28.88,0.66,3.44,41.14,65.43,1484.42,10.55,11.83,Cotton,Vegetative,Zaid,Sprinkler,Reservoir,8.63,No,0.02,Central,Medium
Sandy,5.83,44.79,1.0,2.9,38.96,41.47,1444.73,10.06,18.66,Sugarcane,Sowing,Kharif,Canal,Reservoir,9.83,No,111.18,North,Low
Sandy,6.61,62.01,1.21,0.36,40.49,80.93,1008.1,8.62,3.96,Potato,Flowering,Rabi,Drip,Groundwater,1.96,No,12.25,West,Medium
Silt,6.72,10.35,1.12,2.01,15.18,90.11,1762.82,8.71,16.63,Cotton,Vegetative,Rabi,Sprinkler,Rainwater,12.71,No,71.73,West,Medium
Loamy,6.84,60.37,1.52,1.46,26.64,80.47,71.19,5.48,3.37,Rice,Harvest,Rabi,Rainfed,Groundwater,1.24,Yes,68.07,North,Low
Loamy,5.37,42.72,1.33,2.84,16.96,59.5,2103.75,8.22,18.43,Sugarcane,Vegetative,Rabi,Sprinkler,Rainwater,3.52,No,72.07,Central,Medium
Sandy,6.09,54.02,1.02,0.29,30.01,83.46,869.91,7.85,14.02,Maize,Harvest,Kharif,Sprinkler,Groundwater,1.75,No,60.63,Central,Low
Silt,6.9,29.88,0.58,0.77,18.98,38.16,1982.56,6.34,2.63,Sugarcane,Sowing,Kharif,Canal,River,11.52,No,113.57,East,Low
Sandy,8.1,34.9,0.89,1.76,35.12,32.94,762.65,7.54,4.45,Cotton,Flowering,Zaid,Rainfed,Groundwater,10.79,Yes,41.98,East,Low
Sandy,7.27,57.52,1.2,0.64,31.32,55.68,469.77,10.5,18.57,Wheat,Sowing,Zaid,Drip,Reservoir,4.69,Yes,36.9,South,Low
Clay,7.94,31.65,1.39,2.46,29.15,37.71,973.72,4.04,10.4,Rice,Vegetative,Rabi,Canal,Reservoir,11.8,No,43.65,Central,Medium
Clay,7.39,38.48,1.55,2.89,36.76,43.14,1993.42,6.92,9.34,Sugarcane,Flowering,Kharif,Drip,Reservoir,13.66,Yes,24.74,South,Low
Clay,6.81,9.15,1.09,2.5,27.01,65.96,1758.8,6.34,1.64,Cotton,Flowering,Kharif,Rainfed,Groundwater,3.01,No,86.73,South,Medium
Loamy,5.45,17.04,0.98,1.6,20.1,53.27,1002.58,10.73,2.14,Maize,Sowing,Kharif,Sprinkler,Groundwater,5.7,No,41.57,Central,Low
Silt,7.07,44.58,0.32,3.09,30.62,85.61,2344.67,10.82,13.99,Rice,Sowing,Zaid,Drip,Reservoir,8.08,Yes,7.44,East,Low
Silt,6.92,48.87,0.39,0.57,40.71,40.79,1021.94,8.1,15.65,Potato,Vegetative,Zaid,Canal,River,4.78,No,14.02,South,Medium
Silt,6.85,41.21,0.5,0.99,30.03,94.78,876.88,7.85,17.41,Rice,Harvest,Zaid,Drip,Reservoir,10.07,No,92.34,West,Low
Silt,6.47,16.17,0.37,1.76,30.89,50.16,361.8,10.32,10.3,Maize,Sowing,Kharif,Rainfed,Rainwater,12.56,Yes,11.58,West,Medium
Clay,6.6,33.39,0.82,0.31,40.04,61.08,175.7,4.05,6.91,Maize,Flowering,Kharif,Canal,River,11.04,No,25.49,Central,Medium
Loamy,5.94,28.24,0.74,0.43,27.46,34.26,874.76,7.94,12.7,Cotton,Harvest,Zaid,Rainfed,Rainwater,14.17,No,45.05,North,Low
Loamy,6.57,36.25,1.13,1.45,41.89,65.55,230.01,4.17,12.57,Sugarcane,Sowing,Rabi,Canal,Groundwater,6.0,Yes,95.24,West,Medium
Clay,5.47,57.61,1.0,3.31,16.79,92.29,1156.59,10.78,1.18,Rice,Sowing,Zaid,Canal,Rainwater,2.98,No,9.09,Central,Low
Loamy,7.54,52.22,1.07,3.19,28.11,77.46,2150.02,6.24,18.81,Wheat,Sowing,Kharif,Rainfed,River,13.09,No,23.38,North,Low
Clay,5.43,12.79,0.91,1.68,18.39,42.08,1190.29,7.65,13.03,Maize,Harvest,Kharif,Rainfed,River,14.82,Yes,23.88,Central,Low
Silt,5.09,58.75,0.66,0.58,25.6,55.98,1201.45,6.92,0.63,Maize,Sowing,Kharif,Rainfed,Rainwater,6.87,Yes,55.83,North,Low
Clay,6.28,34.89,1.54,0.71,17.12,54.78,633.6,10.26,19.21,Rice,Vegetative,Zaid,Drip,Rainwater,3.11,No,48.34,East,Medium
Silt,7.04,50.4,0.41,1.38,18.68,31.86,415.74,11.0,19.08,Potato,Sowing,Kharif,Rainfed,Reservoir,4.53,Yes,96.66,East,Low
Silt,6.29,15.98,1.52,0.81,18.32,87.01,555.82,4.48,18.95,Maize,Flowering,Zaid,Rainfed,Groundwater,6.79,No,33.19,West,Medium
Sandy,5.74,46.23,0.7,0.38,21.6,51.7,1419.97,9.12,17.83,Maize,Sowing,Kharif,Drip,River,2.37,No,15.12,Central,Low
Clay,6.7,21.47,0.97,2.39,16.04,59.6,1479.48,6.58,4.1,Sugarcane,Flowering,Rabi,Sprinkler,Reservoir,6.05,Yes,28.59,North,Medium
Sandy,5.98,32.99,0.44,2.08,36.28,45.39,550.47,4.97,19.55,Cotton,Harvest,Zaid,Canal,Reservoir,10.54,Yes,37.77,West,Low
Clay,7.97,8.96,0.39,1.09,18.62,35.67,997.3,6.84,15.36,Cotton,Sowing,Rabi,Drip,Groundwater,7.94,Yes,70.54,West,Low
Clay,7.94,16.64,0.86,2.75,24.5,88.15,1421.71,10.99,12.99,Maize,Sowing,Kharif,Canal,Groundwater,11.83,Yes,46.39,Central,Low
Sandy,6.51,13.25,1.26,2.74,12.48,27.62,1901.16,6.5,18.88,Potato,Harvest,Kharif,Sprinkler,Groundwater,1.86,No,26.56,Central,Medium
Sandy,5.91,21.67,0.65,1.77,15.15,52.99,799.42,5.94,7.93,Wheat,Vegetative,Kharif,Canal,Groundwater,12.63,No,13.06,East,Medium
Clay,7.31,13.7,1.03,0.43,38.89,76.15,678.39,9.92,18.66,Potato,Harvest,Zaid,Rainfed,River,5.21,Yes,70.5,West,Medium
Loamy,4.92,47.44,0.66,3.22,37.11,46.62,1826.17,10.08,12.31,Maize,Harvest,Zaid,Sprinkler,River,5.5,Yes,112.51,South,Low
Silt,6.41,9.66,0.81,2.37,37.23,56.22,1284.53,6.37,11.8,Wheat,Flowering,Rabi,Rainfed,River,9.01,Yes,24.96,West,Medium
Sandy,5.94,43.21,1.48,0.94,24.34,64.51,2141.87,6.09,13.1,Wheat,Sowing,Kharif,Drip,Reservoir,10.89,No,15.1,Central,Low
Silt,7.93,16.02,1.41,2.18,16.25,94.66,527.51,8.53,15.21,Wheat,Sowing,Rabi,Sprinkler,Rainwater,2.57,Yes,108.92,Central,Low
Loamy,4.84,61.87,0.97,1.48,15.24,78.08,1927.36,5.44,9.18,Wheat,Flowering,Kharif,Rainfed,Groundwater,0.6,No,71.46,South,Low
Loamy,6.68,61.19,0.61,2.26,30.17,92.7,405.08,7.39,19.62,Rice,Flowering,Kharif,Canal,River,4.37,No,43.31,West,Medium
Loamy,7.32,20.85,0.55,1.71,36.85,73.52,1461.93,4.99,2.23,Maize,Sowing,Zaid,Drip,Groundwater,5.13,No,7.16,East,Medium
Sandy,6.45,43.02,1.54,1.75,39.0,43.83,709.08,6.13,18.32,Potato,Vegetative,Zaid,Rainfed,Rainwater,2.54,No,90.92,West,Medium
Loamy,5.09,9.6,0.56,2.6,20.66,45.12,252.73,6.08,13.32,Rice,Vegetative,Kharif,Sprinkler,River,11.58,No,86.16,East,High
Sandy,8.11,61.11,1.35,2.19,21.63,82.57,1541.91,8.86,18.24,Wheat,Flowering,Kharif,Canal,Reservoir,9.94,Yes,107.7,Central,Low
Loamy,6.56,37.81,0.78,0.37,15.03,54.94,1267.0,5.98,7.69,Sugarcane,Sowing,Kharif,Drip,Rainwater,3.29,No,68.18,West,Low
Silt,6.89,10.46,1.58,0.32,35.23,50.92,1214.95,10.29,16.67,Cotton,Vegetative,Rabi,Canal,River,2.58,No,38.17,South,High
Silt,5.6,27.52,0.78,1.14,20.27,91.16,1481.3,10.88,12.51,Maize,Vegetative,Rabi,Rainfed,Rainwater,7.45,No,20.16,East,Medium
Clay,6.44,12.38,0.76,1.56,26.43,25.93,931.09,4.57,16.71,Maize,Sowing,Rabi,Canal,River,12.87,No,26.51,East,Medium
Silt,6.26,30.4,1.13,1.04,39.87,61.75,1675.42,6.78,6.84,Rice,Harvest,Zaid,Sprinkler,River,5.82,Yes,61.52,West,Low
Clay,5.05,46.19,1.55,2.31,34.57,79.26,327.11,6.11,18.39,Wheat,Harvest,Kharif,Sprinkler,Reservoir,9.56,No,101.7,Central,Low
Silt,5.16,34.78,1.57,0.76,13.58,76.53,1787.43,6.46,18.52,Wheat,Vegetative,Rabi,Drip,Rainwater,3.58,No,108.2,Central,Medium
Sandy,7.65,29.87,1.22,2.49,12.24,50.73,1449.53,5.86,9.76,Potato,Harvest,Rabi,Sprinkler,Reservoir,13.61,No,58.21,West,Low
Silt,5.62,14.79,1.28,2.73,35.62,62.5,1216.18,6.68,8.31,Rice,Harvest,Rabi,Canal,Rainwater,12.29,Yes,4.7,South,Low
Clay,5.46,21.96,1.03,0.52,28.58,25.39,319.13,4.99,11.72,Potato,Vegetative,Zaid,Canal,Reservoir,12.53,Yes,14.18,East,Medium
Clay,6.52,13.71,1.28,2.31,33.61,62.44,695.66,5.96,4.4,Maize,Sowing,Zaid,Rainfed,Reservoir,0.46,No,114.03,North,Medium
Loamy,7.41,54.03,1.42,3.37,16.7,66.33,738.24,9.23,10.18,Rice,Sowing,Zaid,Rainfed,Reservoir,7.49,No,27.5,South,Low
Sandy,5.01,15.71,0.93,0.76,38.16,86.24,584.53,6.41,17.99,Cotton,Vegetative,Rabi,Canal,Groundwater,0.69,Yes,98.28,North,Medium
Silt,6.76,41.94,1.11,3.19,35.2,39.75,2385.45,5.45,7.62,Maize,Vegetative,Zaid,Canal,River,12.77,No,111.48,Central,Medium
Loamy,5.21,27.54,1.0,2.16,38.73,82.76,2289.1,4.76,14.85,Wheat,Flowering,Zaid,Sprinkler,Reservoir,2.83,No,112.56,South,Medium
Silt,4.92,20.88,1.03,2.11,22.23,75.26,1365.33,6.44,12.65,Potato,Harvest,Kharif,Drip,River,10.95,Yes,12.03,North,Low
Silt,4.98,44.45,1.46,0.28,20.27,71.62,514.18,8.5,5.6,Potato,Vegetative,Rabi,Drip,Rainwater,3.95,No,20.21,South,Low
Loamy,7.64,34.05,0.76,2.64,16.55,52.61,2277.85,5.77,10.87,Sugarcane,Harvest,Kharif,Drip,River,12.57,Yes,55.28,Central,Low
Loamy,5.2,30.81,0.57,1.73,39.9,50.72,1873.52,6.96,17.13,Potato,Vegetative,Zaid,Drip,Groundwater,4.91,Yes,38.31,Central,Medium
Loamy,4.95,41.79,0.89,2.55,17.3,74.23,96.93,10.67,11.32,Potato,Harvest,Zaid,Canal,Groundwater,0.9,No,43.85,East,Medium
Loamy,6.29,36.0,0.57,2.85,15.58,94.32,1226.78,7.87,14.09,Sugarcane,Sowing,Kharif,Sprinkler,River,1.0,No,62.82,North,Low
Loamy,7.67,25.3,0.95,1.88,17.78,53.37,1512.36,7.72,15.62,Maize,Sowing,Zaid,Canal,Rainwater,12.91,No,112.23,East,Low
Silt,5.69,39.87,1.47,1.0,35.14,89.3,166.18,6.87,1.46,Maize,Vegetative,Rabi,Drip,River,13.45,Yes,58.61,Central,Medium
Loamy,6.23,46.16,1.1,0.58,38.69,66.06,124.58,7.9,1.5,Wheat,Harvest,Rabi,Drip,River,11.27,No,52.3,South,Medium
Sandy,4.94,9.52,1.41,0.65,36.33,85.77,1158.81,10.89,2.74,Sugarcane,Vegetative,Zaid,Drip,River,14.58,Yes,78.82,West,Medium
Clay,6.33,34.55,0.52,3.05,28.9,40.2,4.88,5.78,3.68,Rice,Harvest,Rabi,Rainfed,River,13.74,No,16.82,South,Low
Loamy,6.76,11.29,1.47,0.52,41.82,78.36,117.09,10.59,16.32,Rice,Vegetative,Rabi,Rainfed,Reservoir,10.84,No,57.71,North,High
Loamy,6.74,18.63,1.08,1.41,14.07,83.45,412.84,5.04,8.99,Rice,Vegetative,Zaid,Rainfed,Rainwater,0.48,Yes,86.79,South,Medium
Silt,5.93,39.95,0.34,1.24,38.02,83.25,2274.93,4.78,4.11,Rice,Flowering,Zaid,Canal,River,3.06,Yes,71.14,South,Low
Loamy,5.87,57.37,1.12,3.04,24.83,79.93,1915.71,8.58,10.87,Potato,Flowering,Rabi,Sprinkler,Groundwater,3.51,Yes,90.23,Central,Low
Loamy,5.16,58.32,1.54,1.72,25.65,46.29,1126.07,5.76,15.39,Sugarcane,Flowering,Zaid,Rainfed,Rainwater,4.41,Yes,106.3,North,Low
Loamy,6.05,11.99,0.4,3.49,15.83,61.54,1198.01,7.11,3.23,Sugarcane,Flowering,Kharif,Rainfed,Rainwater,4.28,Yes,52.75,West,Medium
Silt,5.14,31.89,1.06,2.61,13.0,45.98,1715.06,9.11,7.22,Wheat,Flowering,Zaid,Drip,Groundwater,3.11,No,86.63,Central,Low
Loamy,7.41,41.23,1.49,2.99,21.5,49.01,1185.97,7.74,4.29,Maize,Flowering,Zaid,Rainfed,Rainwater,7.44,Yes,48.76,Central,Low
Clay,8.09,16.38,0.31,0.44,17.25,46.09,159.81,4.1,13.1,Sugarcane,Harvest,Kharif,Canal,Reservoir,14.43,No,104.28,South,Medium
Silt,8.1,51.63,1.12,0.96,26.5,44.9,1846.83,6.14,3.17,Sugarcane,Flowering,Zaid,Rainfed,River,0.98,Yes,52.24,South,Low
Clay,7.74,50.42,0.92,0.56,16.42,73.54,144.37,4.45,15.73,Maize,Sowing,Rabi,Drip,Reservoir,2.8,Yes,81.36,Central,Low
Silt,6.84,59.49,0.75,1.68,16.14,70.52,1215.23,10.48,4.55,Cotton,Vegetative,Rabi,Sprinkler,River,5.66,No,0.88,East,Low
Loamy,7.18,8.48,1.12,2.54,38.31,39.3,2154.27,9.56,1.64,Potato,Sowing,Rabi,Rainfed,Reservoir,9.26,No,47.8,North,Medium
Clay,5.77,20.35,0.37,0.67,39.64,73.41,293.45,10.89,18.26,Rice,Flowering,Zaid,Drip,Rainwater,2.28,No,66.08,West,High
Silt,6.94,55.15,1.28,0.54,40.93,45.37,1766.57,10.2,7.0,Potato,Harvest,Rabi,Drip,River,8.53,Yes,76.94,Central,Low
Sandy,6.35,46.22,0.31,2.19,32.42,39.12,115.82,7.33,10.3,Sugarcane,Vegetative,Zaid,Sprinkler,River,2.26,No,21.23,West,High
Loamy,6.44,58.98,0.7,0.88,35.13,77.31,2482.65,10.18,2.47,Sugarcane,Flowering,Rabi,Drip,Rainwater,3.3,Yes,76.24,East,Low
Silt,7.38,11.26,0.96,1.73,37.07,50.4,1705.22,8.71,9.85,Potato,Vegetative,Rabi,Drip,Groundwater,0.56,Yes,89.76,East,Medium
Sandy,5.76,42.03,0.79,0.27,31.77,64.85,2422.47,7.67,4.84,Rice,Vegetative,Rabi,Rainfed,Groundwater,14.42,No,33.61,South,Medium
Silt,5.88,40.44,0.7,2.41,21.91,39.01,1670.56,6.59,16.89,Sugarcane,Sowing,Kharif,Canal,Rainwater,4.14,No,42.4,West,Low
Sandy,7.94,10.03,1.38,1.94,16.69,67.96,605.71,8.77,14.42,Maize,Harvest,Zaid,Drip,Groundwater,9.29,Yes,109.22,Central,Low
Loamy,4.99,37.27,1.52,2.3,19.12,39.56,2315.91,8.13,13.43,Sugarcane,Vegetative,Zaid,Drip,Groundwater,3.94,Yes,26.69,East,Low
Clay,6.45,42.74,1.44,1.04,37.21,36.68,1566.68,8.3,15.73,Wheat,Harvest,Zaid,Sprinkler,Reservoir,13.92,Yes,44.08,West,Low
Sandy,7.9,18.9,0.98,1.05,32.88,52.06,1439.84,6.8,6.23,Sugarcane,Sowing,Rabi,Rainfed,Groundwater,0.96,No,86.56,Central,Medium
Silt,6.88,23.58,1.45,2.82,25.67,80.3,1072.78,9.18,9.35,Rice,Flowering,Rabi,Rainfed,Rainwater,7.56,No,23.38,Central,Medium
Loamy,6.66,44.5,1.5,2.54,12.88,37.36,711.48,4.57,2.19,Maize,Sowing,Kharif,Sprinkler,Reservoir,5.1,No,60.65,Central,Low
Sandy,5.65,34.69,0.83,2.07,19.99,33.19,1325.17,9.08,1.82,Sugarcane,Harvest,Rabi,Sprinkler,Groundwater,5.68,No,89.52,West,Low
Silt,5.97,56.91,0.67,2.24,33.87,27.22,915.14,9.12,6.92,Potato,Flowering,Rabi,Sprinkler,Groundwater,1.78,Yes,7.77,Central,Low
Silt,7.7,27.52,0.43,0.42,27.37,54.12,2135.06,7.61,16.54,Cotton,Harvest,Rabi,Canal,Rainwater,6.06,Yes,29.12,West,Low
Silt,6.7,23.2,0.92,3.01,25.07,44.74,72.0,5.84,12.15,Maize,Vegetative,Zaid,Drip,Rainwater,11.08,Yes,68.61,Central,High
Sandy,6.55,64.14,1.53,2.72,21.41,45.45,1325.23,7.63,8.78,Maize,Vegetative,Rabi,Canal,River,10.35,Yes,30.96,West,Low
Sandy,5.14,59.93,1.03,2.11,30.21,93.74,2091.41,4.86,19.36,Potato,Harvest,Rabi,Canal,Groundwater,13.81,No,97.87,East,Low
Sandy,4.85,9.65,1.17,3.22,40.99,38.59,69.02,6.0,9.12,Cotton,Vegetative,Zaid,Rainfed,Groundwater,1.17,No,80.54,West,High
Clay,8.08,51.93,0.45,0.67,39.03,57.09,705.76,6.95,9.64,Sugarcane,Sowing,Rabi,Rainfed,Groundwater,13.58,Yes,63.05,East,Low
Sandy,6.08,14.29,0.49,2.43,12.91,94.05,128.81,8.71,19.85,Wheat,Harvest,Rabi,Sprinkler,Groundwater,6.93,No,17.43,Central,Medium
Sandy,6.85,9.57,0.9,3.37,26.43,27.14,1487.51,5.31,3.06,Potato,Flowering,Kharif,Drip,Reservoir,6.48,No,81.12,East,Medium
Sandy,5.07,23.6,1.54,1.15,21.88,73.77,791.84,5.11,5.48,Rice,Harvest,Rabi,Sprinkler,River,6.63,Yes,20.0,Central,Low
Clay,7.12,23.35,0.77,0.15,27.32,50.98,2399.33,8.25,9.34,Maize,Flowering,Zaid,Drip,Groundwater,10.51,No,112.54,East,Medium
Sandy,7.97,54.7,1.44,2.6,30.19,88.43,1540.73,8.76,11.64,Potato,Harvest,Rabi,Drip,Groundwater,6.88,Yes,8.89,South,Low
Silt,6.76,48.51,0.46,0.12,18.0,88.84,1404.51,4.59,3.39,Wheat,Harvest,Kharif,Canal,Groundwater,14.67,Yes,48.4,North,Low
Sandy,5.23,63.95,1.1,3.07,35.45,52.1,2293.1,4.23,6.91,Rice,Harvest,Rabi,Drip,Reservoir,10.3,Yes,34.05,Central,Low
Silt,6.78,48.56,1.08,0.29,26.25,40.5,558.94,5.03,4.8,Rice,Vegetative,Zaid,Canal,River,9.21,No,80.21,West,Low
Silt,7.41,31.84,1.42,2.32,41.76,54.96,1405.61,10.31,17.07,Sugarcane,Harvest,Zaid,Canal,Groundwater,2.62,No,80.44,North,Low
Silt,6.18,47.84,0.3,1.38,12.75,92.57,1356.96,8.71,16.78,Potato,Flowering,Rabi,Drip,Groundwater,3.8,No,90.29,East,Medium
Clay,7.79,64.97,0.55,0.79,17.69,44.7,205.29,10.45,5.18,Wheat,Harvest,Zaid,Canal,Rainwater,10.3,Yes,93.61,Central,Low
Clay,7.01,48.48,0.59,3.15,32.69,93.69,2330.15,8.65,8.98,Potato,Vegetative,Zaid,Sprinkler,River,5.86,No,27.35,North,Medium
Clay,7.86,51.42,1.53,2.64,32.86,82.36,1750.59,10.76,13.21,Maize,Sowing,Rabi,Drip,Reservoir,11.57,No,76.81,West,Low
Sandy,6.92,61.49,0.5,1.26,29.47,43.72,2220.26,7.07,1.44,Maize,Vegetative,Rabi,Rainfed,Reservoir,6.6,No,26.9,East,Low
Silt,5.25,14.48,0.35,1.07,41.16,80.37,2456.34,8.19,17.73,Potato,Vegetative,Kharif,Canal,River,13.12,Yes,68.36,North,Medium
Clay,5.85,48.17,0.99,2.6,24.46,28.49,1199.13,8.21,10.46,Sugarcane,Flowering,Zaid,Sprinkler,Groundwater,9.06,No,57.29,North,Medium
Clay,5.49,56.5,0.99,2.94,24.51,63.36,2009.15,4.02,4.92,Maize,Harvest,Kharif,Canal,Reservoir,12.71,No,94.78,East,Low
Sandy,7.89,62.4,1.4,2.53,39.31,50.01,1443.9,4.19,8.24,Potato,Sowing,Zaid,Drip,Reservoir,13.25,No,38.66,Central,Low
Clay,7.39,20.03,1.53,2.28,28.15,54.89,2442.81,5.02,18.08,Rice,Sowing,Zaid,Sprinkler,Rainwater,5.14,Yes,4.38,North,Low
Sandy,7.1,36.72,1.0,0.87,22.61,58.1,618.06,7.58,0.98,Potato,Sowing,Rabi,Drip,Reservoir,6.08,No,44.33,West,Low
Loamy,5.82,46.79,1.51,3.0,33.57,60.19,34.54,7.01,3.28,Sugarcane,Vegetative,Zaid,Rainfed,Reservoir,10.94,Yes,101.12,East,Medium
Clay,5.43,22.11,1.24,2.65,30.59,70.95,464.87,7.78,4.26,Rice,Flowering,Rabi,Drip,Groundwater,2.1,No,53.76,South,Medium
Loamy,7.37,42.23,0.64,1.86,21.19,73.77,320.05,9.6,1.67,Rice,Sowing,Zaid,Canal,Groundwater,2.42,Yes,98.19,East,Low
Sandy,6.41,22.68,1.51,1.84,20.94,93.3,1092.38,9.76,4.89,Potato,Vegetative,Rabi,Rainfed,Groundwater,12.38,No,30.19,South,Medium
Silt,5.57,27.01,1.17,2.04,23.87,78.39,193.53,10.84,16.43,Cotton,Vegetative,Zaid,Rainfed,Groundwater,0.49,No,29.43,Central,Medium
Clay,6.9,33.17,0.84,2.92,14.15,73.15,550.49,7.9,10.78,Cotton,Flowering,Kharif,Canal,River,0.85,No,31.83,East,Medium
Sandy,4.94,38.16,1.18,2.62,40.28,52.47,240.66,6.43,12.31,Potato,Vegetative,Zaid,Rainfed,Reservoir,8.76,No,88.67,North,High
Silt,5.91,33.61,0.82,3.01,17.49,33.25,1216.88,6.16,3.54,Sugarcane,Harvest,Kharif,Rainfed,Rainwater,14.46,No,65.45,North,Low
Silt,6.39,36.11,0.45,1.82,17.81,29.12,666.94,6.39,5.93,Rice,Vegetative,Kharif,Canal,Reservoir,14.01,Yes,85.15,North,Low
